event_id,user_id,product_id,action,context,timestamp
evt_000529,27,31,purchase,cart,2026-01-20 03:31:12
evt_002329,117,193,add_to_cart,home_page,2026-01-18 18:32:16
evt_005759,288,129,view,product_detail,2026-01-28 12:49:42
evt_003657,183,24,view,search_results,2026-01-15 17:24:09
evt_007357,368,94,search_click,search_results,2026-01-11 16:42:28
evt_006420,321,117,view,category_page,2026-01-03 00:44:38
evt_008282,415,108,view,product_detail,2026-01-10 22:48:34
evt_003867,194,49,view,category_page,2026-01-13 09:13:36
evt_003697,185,117,share,home_page,2026-01-28 19:52:29
evt_001117,56,183,add_to_wishlist,product_detail,2026-01-17 07:18:50
evt_009654,483,75,view,product_detail,2026-01-28 08:38:26
evt_006896,345,147,search_click,search_results,2026-01-07 19:50:04
evt_007193,360,108,view,product_detail,2026-01-13 21:18:02
evt_005307,266,181,search_click,search_results,2026-01-01 04:42:06
evt_002403,121,42,purchase,cart,2026-01-15 00:39:27
evt_008388,420,107,add_to_cart,cart,2026-01-31 13:33:54
evt_003009,151,133,view,product_detail,2026-01-04 05:23:05
evt_008400,420,124,search_click,search_results,2026-01-31 21:33:01
evt_002425,122,128,search_click,search_results,2026-01-11 19:31:18
evt_008893,445,62,search_click,search_results,2026-01-08 16:56:32
evt_008319,416,58,rate_review,product_detail,2026-01-18 11:07:58
evt_009736,487,58,add_to_wishlist,home_page,2026-01-27 07:33:55
evt_001871,94,35,add_to_wishlist,home_page,2026-01-01 05:56:45
evt_005491,275,90,view,product_detail,2026-01-23 17:05:43
evt_000766,39,77,search_click,search_results,2026-01-24 16:22:27
evt_009425,472,39,purchase,checkout,2026-01-10 11:18:59
evt_009471,474,128,search_click,search_results,2026-01-20 00:13:55
evt_002522,127,185,add_to_cart,cart,2026-01-30 17:20:29
evt_009487,475,134,share,home_page,2026-01-07 21:03:16
evt_001639,82,1,rate_review,product_detail,2026-01-20 03:59:38
evt_005884,295,85,add_to_cart,home_page,2026-01-24 19:15:52
evt_004692,235,31,view,category_page,2026-01-19 15:12:29
evt_009496,475,93,view,search_results,2026-01-07 20:51:07
evt_005096,255,81,view,home_page,2026-01-09 14:57:23
evt_008274,414,79,view,home_page,2026-01-26 22:55:31
evt_006608,331,58,view,category_page,2026-01-03 00:15:18
evt_006854,343,12,search_click,search_results,2026-01-08 17:52:14
evt_008502,426,187,add_to_wishlist,home_page,2026-01-08 12:28:04
evt_006990,350,106,remove_from_cart,cart,2026-01-05 12:08:00
evt_003092,155,156,search_click,search_results,2026-01-16 06:20:15
evt_006835,342,149,view,search_results,2026-01-30 13:27:23
evt_002764,139,90,add_to_cart,cart,2026-01-08 05:04:24
evt_007881,395,105,view,category_page,2026-01-11 08:38:33
evt_004309,216,76,add_to_wishlist,home_page,2026-01-25 01:56:02
evt_006863,344,123,view,home_page,2026-01-15 18:48:28
evt_008602,431,43,view,search_results,2026-01-13 23:12:37
evt_009074,454,126,view,product_detail,2026-01-30 04:44:34
evt_000688,35,76,search_click,search_results,2026-01-24 02:40:34
evt_003284,165,64,add_to_cart,product_detail,2026-01-07 01:18:48
evt_008330,417,46,view,home_page,2026-01-01 10:40:19
evt_008995,450,74,add_to_wishlist,product_detail,2026-01-29 06:17:38
evt_006373,319,101,add_to_wishlist,home_page,2026-01-12 07:57:04
evt_007611,381,78,rate_review,product_detail,2026-01-08 14:14:06
evt_008418,421,106,share,home_page,2026-01-26 05:33:22
evt_003858,193,157,add_to_cart,product_detail,2026-01-19 01:38:48
evt_006695,335,77,view,category_page,2026-01-16 02:34:13
evt_006702,336,142,add_to_wishlist,product_detail,2026-01-19 04:31:34
evt_007392,370,196,add_to_cart,product_detail,2026-01-13 00:28:06
evt_000128,7,51,view,home_page,2026-01-10 00:53:21
evt_000774,39,106,rate_review,product_detail,2026-01-24 10:05:49
evt_002516,126,23,add_to_cart,cart,2026-01-11 19:58:45
evt_004332,217,118,view,search_results,2026-01-30 22:27:24
